id_of_tweet;tokens_by_Frequency
959285851875196928;"{ rt:16}; { https:5}; { co:5}; { hizbkkhan:4}; { pittsportmomma:3}; { us:3}; { to:3}; { policy:3}; { exposetwitter:3}; { chopanzee:2}; { freedom3wwgiwga:2}; { driver:2}; { secret:2}; { service:2}; { truly:2}; { ve:2}; { time:2}; { please:2}; { zibalady1:2}; { amp:2}; { watch:2}; { like:2}; { video:2}; { re:2}; { trump:2}; { foreign:2}; { interests:2}; { racism:2}; { this:2}; { the:2}; { ever:2}; { biden:2}; { a:2}; { yes:1}; { greer:1}; { entire:1}; { plot:1}; { zk6evgbqgh:1}; { jfk:1}; { shot:1}; { his:1}; { hjvxl6jnkd:1}; { drsawbones:1}; { sdmsnews:1}; { thejusticedept:1}; { fbijackson:1}; { justice:1}; { c:1}; { mississippi:1}; { compounding:1}; "
1199768132832776193;"{ rt:19}; { trump:6}; { biden:5}; { you:3}; { t:3}; { the:3}; { s:3}; { 77x0x77:2}; { gianis_1:2}; { joelmarqq:2}; { moodav47:2}; { phillyfan1221:2}; { toniw67:2}; { 2majzoobi:2}; { bfes56:2}; { akusafvet:2}; { lisapurdue2:2}; { st22r:2}; { https:2}; { co:2}; { our:2}; { press:2}; { news:2}; { day:2}; { will:2}; { last:2}; { charliekirk11:2}; { national:2}; { joshdcaplan:2}; { realmattcouch:2}; { voted:2}; { a:2}; { those:2}; { donald:2}; { week:2}; { said:2}; { svrowm5pr6:1}; { engthing9:1}; { duffyusa:1}; { donaldjtrumpjr:1}; { dc:1}; { hotel:1}; { open:1}; { dcpd:1}; { strange:1}; { wonderful:1}; { amp:1}; { totally:1}; { unbiased:1}; { corps:1}; "
22663306;"{ rt:17}; { kk131066:17}; { amp:9}; { trump:8}; { t:8}; { nojusticenounity:7}; { gopseditioustraitors:6}; { must:6}; { nojusticenohealing:5}; { the:5}; { problems:5}; { unity:4}; { traitors:4}; { nojusticenopeace:4}; { arresttrumpnow:3}; { make:3}; { justice:3}; { crime:3}; { a:3}; { https:3}; { co:3}; { system:2}; { ask:2}; { coupattempt:2}; { is:2}; { restore:2}; { ruleoflaw:2}; { face:2}; { arresttrump:2}; { can:2}; { not:2}; { you:2}; { works:2}; { people:2}; { respect:2}; { other:2}; { common:2}; { goal:2}; { know:2}; { racist:2}; { want:2}; { laws:2}; { logic:2}; { loopholes:2}; { pretending:2}; { there:2}; { go:2}; { away:2}; { no:2}; { heard:1}; "
1049162319941517312;"{ rt:19}; { biden:9}; { https:8}; { co:8}; { joe:4}; { ice:3}; { agents:3}; { ordered:3}; { free:3}; { illegal:3}; { aliens:3}; { custody:3}; { insulin:3}; { look:3}; { ll:3}; { you:3}; { mad:3}; { release:2}; { trump:2}; { price:2}; { millions:2}; { fadde:2}; { americans:2}; { healthcare:2}; { getting:2}; { every:2}; { mexico:2}; { those:2}; { voted:2}; { win:2}; { people:2}; { all:2}; { s:2}; { jackposobiec:2}; { the:2}; { loudobbs:1}; { immediate:1}; { election:1}; { consequences:1}; { r:1}; { realdailywire:1}; { stops:1}; { order:1}; { slash:1}; { epipen:1}; { o0kkzwpfdt:1}; { jtayfn6z6g:1}; { franklin_graham:1}; { world:1}; { distressed:1}; "
2449913803;"{ n:2}; { t:1}; { f:1}; { u:1}; "
823238304183283712;"{ rt:11}; { trump:7}; { https:5}; { co:5}; { fox:3}; { democrats:3}; { supporters:3}; { president:3}; { cancel:3}; { m:3}; { do:2}; { have:2}; { all:2}; { million:2}; { msm:2}; { an:2}; { republican:2}; { biden:2}; { the:2}; { know:2}; { a:2}; { you:2}; { republicans:2}; { recommendation:1}; { eliminate:1}; { anything:1}; { including:1}; { nation:1}; { news:1}; { app:1}; { device:1}; { media:1}; { whipped:1}; { panic:1}; { virus:1}; { 6:1}; { deaths:1}; { strictly:1}; { due:1}; { covid:1}; { sick_diablo:1}; { 4:1}; { dems:1}; { handcuffed:1}; { arrested:1}; { selling:1}; { votes:1}; { bribes:1}; { fcxdswmccs:1}; { 125lolalola:1}; "
1214687241961791489;"{ rt:14}; { https:10}; { co:10}; { biden:7}; { joebiden:5}; { daveschreiber3:3}; { trump:3}; { a:2}; { joe:2}; { buyers:2}; { remorse:2}; { already:2}; { worst:2}; { president:2}; { illegitimate:2}; { well:2}; { ever:2}; { unions:2}; { endorsed:2}; { perspicaciousxy:2}; { impeachbidennow:2}; { susanstjames3_:2}; { saracarterdc:2}; { kosunbound:2}; { t:2}; { million:2}; { followers:2}; { eetee09:1}; { sidneyforvp2024:1}; { saundersm3901:1}; { epochtimes:1}; { absolutely:1}; { ryanafournier:1}; { noticed:1}; { democrat:1}; { cities:1}; { lifting:1}; { lockdowns:1}; { allowing:1}; { indoor:1}; { dining:1}; { days:1}; { biglance111:1}; { ill:1}; { pro:1}; { union:1}; { p0plqpcx1h:1}; { sheilaclark122:1}; { let:1}; { whole:1}; "
717363629847396352;"{ rt:11}; { michaeljfell:4}; { https:4}; { co:4}; { karlespo:3}; { bring:2}; { amp:2}; { mother:2}; { gop:2}; { trump:2}; { the:2}; { wins:2}; { your:2}; { illmortaldeity:1}; { kjdtypes:1}; { lol:1}; { ignorantego:1}; { do:1}; { feel:1}; { democrats:1}; { dignity:1}; { honor:1}; { right:1}; { thing:1}; { sensanders:1}; { youre:1}; { obviously:1}; { know:1}; { bernard:1}; { otherwise:1}; { surely:1}; { would:1}; { aborted:1}; { hideo:1}; { cguozepbwm:1}; { mfggabe:1}; { someone:1}; { fact:1}; { check:1}; { please:1}; { sarcasm:1}; { ip7j5ji1i4:1}; { yesterday:1}; { ivankatrump:1}; { attorney:1}; { general:1}; { william:1}; { barr:1}; { visited:1}; { atlanta:1}; "
1197209917972762625;"{ rt:12}; { jordansview1:8}; { https:6}; { co:6}; { the:6}; { america:5}; { amp:5}; { patriots:4}; { rodhillis3:4}; { stxvbz:3}; { love:3}; { following:3}; { lindamu9:3}; { abd130usa22nq:3}; { nation:3}; { truths:3}; { biden:2}; { he:2}; { starkrob21:2}; { rick_cav:2}; { 4mimi2011:2}; { digi11111:2}; { wzh58hfgl2mvsv1:2}; { realwolf72:2}; { be:2}; { trump:2}; { great:2}; { to:2}; { such:2}; { powers:2}; { men:2}; { lareginanyfl:1}; { encourage:1}; { americans:1}; { believe:1}; { want:1}; { support:1}; { first:1}; { stop:1}; { shopping:1}; { bedbathbeyond:1}; { hopecircuit:1}; { gg4hm3nftj:1}; { 8lv6hopljz:1}; { talk:1}; { wants:1}; { unity:1}; { long:1}; { dems:1}; { persist:1}; "
