id_of_tweet;tokens
959285851875196928;['chopanzee', 'freedom3wwgiwga', 'yes', 'greer', 'driver', 'secret', 'service', 'entire', 'secret', 'service', 'plot', 'http', 'co', 'zk6evgbqgh', 'rt', 'chopanzee', 'freedom3wwgiwga', 'jfk', 'shot', 'driver', 'http', 'co', 'hjvxl6jnkd', 'rt', 'drsawbones', 'sdmsnews', 'thejusticedept', 'fbijackson', 'justice', 'c', 'mississippi', 'compounding', 'pharmacy', 'mogul', 'sentenced', 'mm', 'health', 'car', 'rt', 'pittsportmomma', 'truly', 'accurate', 'thing', 'read', 'long', 'time', 'please', 'share', 'far', 'wide', 'maybe', 'someone', 'need', 'rt', 'zibalady1', 'witnessing', 'called', 'political', 'violence', 'totalitarianism', 'work', 'controll', 'amp', 'silencing', 'rt', 'hizbkkhan', 'house', 'meet', 'tomorrow', 'predicted', 'pas', '25th', 'amendment', 'resolution', 'via', 'roll', 'call', 'vote', 'presid', 'rt', 'zibalady1', 'watch', 'look', 'like', 'storming', 'capitolbuilding', 'look', 'like', 'planned', 'amp', 'staged', 'video', 'capitolrio', 'rt', 'brianquinn1776', 'update', 'thank', 'everyone', 'helped', 'u', 'get', 'savedelta', 'please', 'donate', 'http', 'co', 'i9th', 'rt', 'hizbkkhan', 'trump', 'foreign', 'policy', 'triumphant', 'diminished', 'challenge', 'u', 'enormously', 'secured', 'u', 'interest', 'around', 'rt', 'dollarntzen', 'patriot', 'tough', 'couple', 'day', 'must', 'watch', 'video', 'vc', 'i5tactical', 'test', 'avenger', 'series', 'stun', 'gun', 'rt', 'pittsportmomma', 'woman', 'shocked', 'last', 'week', 'nothing', 'racism', 'tired', 'racism', 'getting', 'brought', 'left', 'resistcommies', '4th', 'time', 'back', 'bahahaha', 'rt', 'pittsportmomma', 'truly', 'might', 'dumbest', 'correction', 'cnn', 'ever', 'publish', 'ever', 'stop', 'think', 'ha', 'rt', 'hizbkkhan', 'trump', 'policy', 'prevented', 'china', 'becoming', 'economic', 'superpower', 'biden', 'policy', 'provide', 'huge', 'space', 'f', 'rt', 'project_veritas', 'exposetwitter', 'exposetwitter', 'exposetwitter', 'http', 'co', '0afljdbzra', 'rt', 'kittenmule888', 'commie', 'jack', 'liar', 'busted', 'crossed', 'line', 'returning', 'remember', 'rt', 'hizbkkhan', 'http', 'co', 'w61ititvcn', 'joe', 'biden', 'foreign', 'policy', 'undermine', 'u', 'interest', 'latest', 'article', 'elamerican_', 'rt', 'raeanon', 'ortainedevian', 'bearhunter001', 'missesj3', 'steve_q17', 'slavewar', 'maca691', 'heidi_weigand', 'hh_kathy', 'mvineyardfarmer', 'bardsfm', 'grot']
1199768132832776193;['77x0x77', 'gianis_1', 'joelmarqq', 'moodav47', 'phillyfan1221', 'toniw67', '2majzoobi', 'bfes56', 'akusafvet', 'lisapurdue2', 'st22r', 'http', 'co', 'svrowm5pr6', 'rt', '77x0x77', 'gianis_1', 'joelmarqq', 'moodav47', 'phillyfan1221', 'toniw67', '2majzoobi', 'bfes56', 'akusafvet', 'lisapurdue2', 'st22r', 'engthing9', 'duffyusa', 'rt', 'donaldjtrumpjr', 'trump', 'dc', 'hotel', 'open', 'dcpd', 'strange', 'wonderful', 'amp', 'totally', 'unbiased', 'press', 'corp', 'zero', 'question', 'pres', 'se', 'rt', 'theleoterrell', 'best', 'news', 'heard', 'day', 'campaign', 'republican', 'backstabbed', 'president', 'trump', 'rt', 'ksorbs', 'preach', 'acceptance', 'unity', 'practicing', 'last', 'four', 'year', 'rt', 'charliekirk11', 'le', '72', 'hour', 'joe', 'biden', 'killed', '70', '000', 'job', 'eliminated', 'woman', 'sport', 'invaded', 'syria', 'left', 'national', 'gua', 'rt', 'joshdcaplan', 'reuters', 'taiwan', 'report', 'large', 'incursion', 'chinese', 'air', 'force', 'rt', 'christianwalk1r', 'smart', 'pretty', 'press', 'secretary', 'like', 'traded', 'something', 'louis', 'vuitton', 'walmart', 'item', 'rt', 'realmattcouch', 'god', 'help', 'u', 'white', 'house', 'announces', 'codify', 'federal', 'abortion', 'law', 'http', 'co', 'mfftvppktr', 'rt', 'realmattcouch', 'voted', 'party', 'pushing', 'abortion', 'honestly', 'know', 'claim', 'christian', 'rt', 'saracarterdc', 'awful', 'biden', 'admin', 'working', 'double', 'time', 'ensure', 'reverse', 'every', 'good', 'policy', 'american', 'gained', 'trump', 'rt', 'scottbaio', 'day', '4', 'rt', 'frfrankpavone', 'racist', 'people', 'midst', 'today', 'one', 'slap', 'word', 'racism', 'everything', 'disagree', 'rt', 'fadde', '80m', 'voted', 'biden', 'pls', 'explain', 'increasing', 'price', 'insulin', 'need', 'win', 'rt', 'atensnut', 'hydroxychloroquin', 'legal', 'since', 'longer', 'help', 'trump', 'rt', 'raging_red', 'patriot', 'mia', 'last', 'day', 'bc', 'mom', 'rushed', 'hospital', 'rough', 'shape', 'heart', 'failure', 'lung', 'c', 'rt', 'charliekirk11', 'donald', 'trump', 'wanted', 'use', 'national', 'guard', 'protect', 'city', 'democrat', 'outraged', 'donald', 'trump', 'feder', 'rt', 'emeraldrobinson', 'gov', 'gretchen', 'whitmer', 'announced', 'indoor', 'dining', 'resume', 'michigan', 'next', 'week', 'happened', 'week', 'chang', 'rt', 'watchchad', 'biden', 'released', 'kid', 'cage', 'said', 'would', 'end', 'fracking', 'said', 'sound', 'ri', 'rt', 'joshdcaplan', 'fox', 'news', 'alberta', 'premier', 'say', 'biden', 'disrespected', 'u', 'closest', 'friend', 'canceling', 'keystone', 'pipeline']
22663306;['rt', 'kk131066', 'heard', 'system', 'check', 'amp', 'balance', 'find', 'ask', 'japanese', 'save', 'america', 'need', 'replace', 'exi', 'rt', 'kk131066', 'trump', 'worthless', 'traitortrump', 'allowed', 'destroy', 'country', 'arresttrumpnow', 'trumpisacompletefailure', 'trumpc', 'rt', 'kk131066', 'stupidpeople', 'shameless', 'otherwise', 'would', 'ashamed', 'arresttrumpnow', 'coupattempt', 'capitolhill', 'capi', 'rt', 'kk131066', 'failure', 'quickly', 'adapt', 'changing', 'circumstance', 'lead', 'negative', 'consequence', 'difference', 'whether', 'count', 'rt', 'kk131066', 'gopseditioustraitors', 'attempt', 'distance', 'trump', 'make', 'sense', 'leader', 'capitolriots', 'happened', 'due', 'g', 'rt', 'kk131066', 'gopseditioustraitors', 'understand', 'trump', 'dc', 'goptraitors', 'knew', 'amp', 'supported', 'rt', 'kk131066', 'nojusticenounity', 'nojusticenohealing', 'gopseditioustraitors', 'amp', 'trump', 'must', 'brought', 'justice', 'restore', 'ruleoflaw', 'trum', 'rt', 'kk131066', 'put', 'cart', 'horse', 'nojusticenounity', 'nojusticenohealing', 'gopseditioustraitors', 'amp', 'trump', 'must', 'face', 'justi', 'rt', 'kk131066', 'flexible', 'mean', 'spineless', 'nojusticenounity', 'nojusticenohealing', 'arresttrump', 'arrestthemallnow', 'arresttrumpnow', 'tr', 'rt', 'kk131066', 'unity', 'traitor', 'cannot', 'justified', 'nojusticenounity', 'nojusticenopeace', 'nojusticenohealing', 'trump', 'amp', 'gopseditiou', 'rt', 'kk131066', 'dangerous', 'crime', 'unpunished', 'crime', 'make', 'crime', 'acceptable', 'erodes', 'trust', 'system', 'amp', 'lead', 'rt', 'kk131066', 'willingness', 'stand', 'truth', 'fade', 'politician', 'voted', 'ask', 'love', 'p', 'rt', 'kk131066', 'everything', 'trump', 'touch', 'dy', 'trumpdeathcult', 'nojusticenopeace', 'nojusticenounity', 'nojusticenohealing', 'traitor', 'must', 'rt', 'kk131066', 'anything', 'must', 'justice', 'nojusticenounity', 'nojusticenopeace', 'traitor', 'must', 'face', 'justice', 'restore', 'ruleoflaw', 'rt', 'kk131066', 'unity', 'traitor', 'must', 'time', 'nojusticenounity', 'nojusticenopeace', 'trump', 'trumpcult', 'coup', 'coupattempt', 'capitolriot', 'rt', 'kk131066', 'unity', 'work', 'people', 'respect', 'amp', 'common', 'goal', 'know', 'racist', 'gopseditioustraitors', 'want', 'americ', 'rt', 'kk131066', 'law', 'logic', 'loophole', 'pretending', 'problem', 'make', 'problem', 'go', 'away', 'arresttrump', 'movebitcanis', 'really', 'problem', 'cannot', 'reduced', 'amp', 'jan', '6', 'reminder', 'u', 'many', 'unsolved', 'problem', 'http', 'co', 'qwkh5jqquw', 'unity', 'work', 'people', 'respect', 'amp', 'common', 'goal', 'know', 'racist', 'gopseditioustraitors', 'want', 'http', 'co', 'ckhgy1gs5h', 'law', 'logic', 'loophole', 'pretending', 'problem', 'make', 'problem', 'go', 'away', 'http', 'co', 'rxxkmud4fx']
1049162319941517312;['rt', 'loudobbs', 'immediate', 'election', 'consequence', 'ice', 'agent', 'ordered', 'free', 'illegal', 'alien', 'custody', 'release', 'http', 'co', 'r', 'rt', 'realdailywire', 'biden', 'stop', 'trump', 'order', 'slash', 'price', 'insulin', 'epipen', 'http', 'co', 'o0kkzwpfdt', 'http', 'co', 'jtayfn6z6g', 'rt', 'franklin_graham', 'look', 'world', 'distressed', 'look', 'within', 'depressed', 'look', 'god', 'rt', 'repandybiggsaz', 'stopping', 'border', 'wall', 'construction', 'ending', 'immigration', 'enforcement', 'policy', 'proposing', 'amnesty', 'million', 'rt', 'fadde', 'million', 'american', 'without', 'healthcare', 'yet', 'let', 'focus', 'getting', 'prisoner', 'healthcare', 'first', 'exxonmobil', 'loser', 'rt', 'arifleischer', 'full', 'list', 'every', 'lie', 'joe', 'biden', 'told', 'president', 'http', 'co', 'rx5tthjgsz', 'rt', 'fogcitymidge', 'mexico', 'mad', 'canada', 'mad', 'america', 'mad', 'joe', 'biden', 'getting', 'started', 'rt', 'fadde', '80m', 'voted', 'biden', 'pls', 'explain', 'increasing', 'price', 'insulin', 'need', 'win', 'rt', 'columbiabugle', 'epic', 'rt', 'drpaulgosar', 'thunderous', 'applause', 'people', 'know', 'truth', 'http', 'co', 'i0x2mrwsuc', 'rt', 'saracarterdc', 'awful', 'biden', 'admin', 'working', 'double', 'time', 'ensure', 'reverse', 'every', 'good', 'policy', 'american', 'gained', 'trump', 'rt', 'catturd2', 'ice', 'agent', 'ordered', 'free', 'illegal', 'alien', 'custody', 'release', 'http', 'co', 'iujkt7ouic', 'via', 'breitbartnews', 'rt', 'kamvtv', 'icymi', 'ice', 'agent', 'ordered', 'free', 'illegal', 'alien', 'custody', 'rt', 'richardgrenell', 'happening', 'gavinnewsom', 'rt', 'jackposobiec', 'people', 'voted', 'guy', 'increased', 'insulin', 'price', 'day', 'one', 'name', 'joe', 'biden', 'rt', 'jackposobiec', 'breaking', 'new', 'mexico', 'leader', 'say', 'biden', 'domestic', 'energy', 'ban', 'devastate', 'state', 'economy', 'job', 'education', 'rt', 'jessekellydc', 'sick', 'way', 'rather', 'enjoying', 'oh', 'crap', 'vibe', 'biden', 'put', 'daily', 'enjoy', 'rt', 'ryanafournier', 'report', 'dark', 'money', 'helped', 'joe', 'biden', 'win', 'white', 'house', 'unbelievable', 'http', 'co', 'rmxprzcdzl', 'rt', 'dadagudblood', 'nigga', 'got', 'played', 'http', 'co', 'iga5d6r4pc']
2449913803;['n', 'f', 'u', 'n']
823238304183283712;['recommendation', 'eliminate', 'anything', 'fox', 'including', 'fox', 'nation', 'fox', 'news', 'app', 'device', 'democrat', 'medium', 'whipped', 'panic', 'virus', '6', 'death', 'strictly', 'due', 'covid', 'rt', 'sick_diablo', '4', 'dems', 'handcuffed', 'arrested', 'selling', 'vote', 'bribe', 'http', 'co', 'fcxdswmccs', 'rt', '125lolalola', 'ice', 'agent', 'ordered', 'free', 'illegal', 'alien', 'custody', 'release', 'http', 'co', 'wzzipja7gu', 'via', 'breitbartnews', 'ht', 'rt', 'theleoterrell', 'big', 'lie', 'democrat', 'claim', 'trump', 'supporter', 'white', 'extremist', 'truth', '75', 'million', 'trump', 'supporter', 'represen', 'rt', 'brianglenntv', 'beautiful', 'moment', 'president', 'trump', 'thanks', 'family', 'support', 'flotus', 'express', 'love', 'th', 'rt', 'scottbaio', 'laying', 'foundation', '25th', 'amendment', 'msm', 'focusing', 'poor', 'joe', 'nothing', 'different', 'msm', 'start', 'spin', 'rt', 'gazcon', 'hydroxychloroquine', '70', 'year', 'track', 'record', 'safety', 'deemed', 'dangerous', 'experimental', 'rna', 'vaccine', 'cooked', 'rt', 'matthew_4_trump', 'right', 'come', 'god', 'government', 'rt', 'rising_serpent', 'remember', 'democrat', 'challenged', 'every', 'one', 'trump', 'executive', 'order', 'court', 'republican', 'party', 'rt', 'dineshdsouza', 'way', 'cancel', 'cancel', 'culture', 'teach', 'company', 'cancel', 'guy', 'like', 'mike', 'lindell', 'pillow', 'le', 'rt', 'morpheus2021', 'msavaarmstrong', 'stevepieczenik', 'http', 'co', '0tfh89lata', 'rt', 'malcolmoutloud', 'biden', 'eliminates', '1776', 'commission', 'teaching', 'american', 'history', 'w', 'carolmswain', 'keep', 'america', 'laughing', 'left', 'politic', 'http', 'co', 'fzqmkbvvpz', 'friendly', 'reminder', 'congress', 'know', '85', 'million', 'trump', 'supporter', 'fair', 'election', 'lost', 'representative', 'republic', 'biden', 'really', 'president', 'kenyan', 'know', 'right', 'republican', 'stood', 'president', 'trump', 'longer', 'republican', 'independent', 'tired', 'republican', 'name', 'http', 'co', 'r7oivv2y2h', 'done', 'trump', 'coming', 'make', 'mistake']
1214687241961791489;['rt', 'eetee09', 'sidneyforvp2024', 'rt', 'saundersm3901', 'daveschreiber3', 'epochtimes', 'absolutely', 'rt', 'ryanafournier', 'noticed', 'democrat', 'city', 'lifting', 'lockdown', 'allowing', 'indoor', 'dining', 'day', 'biden', 'rt', 'biglance111', 'joe', 'biden', 'ill', 'pro', 'union', 'http', 'co', 'p0plqpcx1h', 'rt', 'sheilaclark122', 'let', 'whole', 'world', 'crumble', 'around', 'head', 'brought', 'molten', 'ash', 'man', 'life', 'golden', 'era', 'p', 'rt', 'greghousehold1', 'daveschreiber3', 'joebiden', 'westjournalism', 'serf', 'right', 'rt', 'daveschreiber3', 'buyer', 'remorse', 'joebiden', 'already', 'worst', 'president', 'illegitimate', 'well', 'ever', 'union', 'endorsed', 'biden', 'lash', 'buyer', 'remorse', 'joebiden', 'already', 'worst', 'president', 'illegitimate', 'well', 'ever', 'union', 'endorsed', 'biden', 'la', 'http', 'co', 'ltpwqppnma', 'rt', 'darkgamergirl6', 'stillfunny', 'http', 'co', 'ujaqhq4mnd', 'rt', 'sebgorka', 'blackmail', 'joebiden', 'rudygiuliani', 'http', 'co', 'gpc21nthxh', 'http', 'co', 'stt6ho4hnc', 'perspicaciousxy', 'impeachbidennow', 'http', 'co', 'ssvqhmcw3l', 'rt', 'perspicaciousxy', 'msm', 'knowingly', 'purposely', 'report', 'antifa', 'still', 'burning', 'portland', 'seattle', 'sick', 'susanstjames3_', 'impeachbidennow', 'http', 'co', 'dzhxrpsuqm', 'rt', 'susanstjames3_', 'trump', 'capped', 'cost', 'insulin', '35', 'per', 'month', 'going', 'skyrocket', '10', 'x', 'biden', 'saracarterdc', 'http', 'co', 'vefz3papkz', 'rt', 'saracarterdc', 'awful', 'biden', 'admin', 'working', 'double', 'time', 'ensure', 'reverse', 'every', 'good', 'policy', 'american', 'gained', 'trump', 'kosunbound', 'savingrace_2', 'http', 'co', 'aogpupxw3h', 'rt', 'kosunbound', 'midnight', 'tonight', 'stop', 'removal', 'email', 'read', 'includes', 'mexican', 'bus', 'run', 'charter', 'flight', 'commerci', 'vtbirkenstock', 'joebiden', 'http', 'co', 'hfhbdz0rqk', 'rt', 'brandonstraka', 'donald', 'trump', '88', 'million', 'follower', 'received', '74', '5', 'million', 'vote', 'joe', 'biden', '26', '2m', 'follower', 'receive']
717363629847396352;['rt', 'illmortaldeity', 'kjdtypes', 'karlespo', 'michaeljfell', 'lol', 'rt', 'ignorantego', 'feel', 'democrat', 'bring', 'dignity', 'honor', 'amp', 'right', 'thing', 'sensanders', 'youre', 'mother', 'obviously', 'know', 'bernard', 'otherwise', 'surely', 'would', 'aborted', 'hideo', 'http', 'co', 'cguozepbwm', 'rt', 'mfggabe', 'someone', 'fact', 'check', 'please', 'sarcasm', 'http', 'co', 'ip7j5ji1i4', 'rt', 'gop', 'yesterday', 'ivankatrump', 'amp', 'attorney', 'general', 'william', 'barr', 'visited', 'atlanta', 'highlight', 'realdonaldtrump', 'administration', 'work', 'rt', 'luna_paris', 'seattle', 'resident', '4', 'year', 'ago', 'laughed', 'trump', 'support', 'trump', 'due', 'rioting', 'defunding', 'police', 'made', 'rt', 'therealnotjonas', 'alyssa_milano', 'exact', 'quote', 'optimism', 'liberal', 'http', 'co', 'ybcchvjbeo', 'rt', 'nra', 'joe', 'biden', 'win', 'mike', 'bloomberg', 'win', 'beto', 'rourke', 'knocking', 'door', 'ar', '15', 'rt', 'medreggy', 'michaeljfell', 'karlespo', 'plea', 'bring', 'rt', 'tastykar', 'michaeljfell', 'nothing', 'planning', 'anyway', 'filltheseat', 'rt', 'michaeljfell', 'report', 'dems', 'considering', 'total', 'war', 'gop', 'fill', 'supreme', 'court', 'seat', 'want', 'major', 'change', 'new', 'state', 'http', 'co', 'ngbzw', 'rt', 'ebeato', 'timetravlnqte', 'karlespo', 'attractive', 'mother', 'must', 'proud']
1197209917972762625;['rt', 'lareginanyfl', 'encourage', 'american', 'believe', 'america', 'want', 'support', 'america', 'first', 'stop', 'shopping', 'bedbathbeyond', 'amp', 'stxvbz', 'hopecircuit', 'love', 'following', 'patriot', 'lindamu9', 'http', 'co', 'gg4hm3nftj', 'stxvbz', 'love', 'following', 'patriot', 'lindamu9', 'http', 'co', '8lv6hopljz', 'rt', 'jordansview1', 'biden', 'talk', 'want', 'unity', 'long', 'amp', 'dems', 'persist', 'pursuing', 'another', 'groundless', 'impeachment', 'la', 'rt', 'abd130usa22nq', 'starkrob21', 'rodhillis3', 'rick_cav', '4mimi2011', 'digi11111', 'abd130usa22nq', 'wzh58hfgl2mvsv1', 'realwolf72', 'fkurfeel', 'abd130usa22nq', 'starkrob21', 'rodhillis3', 'rick_cav', '4mimi2011', 'digi11111', 'wzh58hfgl2mvsv1', 'realwolf72', 'fkurfeeling', 'http', 'co', 'ckpjbmu4oo', 'stxvbz', 'jstoobzz', 'love', 'following', 'patriot', 'lindamu9', 'http', 'co', 'nr4bify74j', 'rodhillis3', 'rod', 'win', 'people', 'matter', 'anymore', 'voter', 'fraud', 'need', 'fix', 'rt', 'rodhillis3', 'man', 'hears', 'trump', 'running', '2o24', 'http', 'co', 'wt123doicq', 'rt', 'jordansview1', 'patriot', 'friend', 'america', 'imperfect', 'nation', 'yet', 'taken', 'great', 'pain', 'amp', 'made', 'great', 'progress', 'correct', 'rt', 'jordansview1', 'nation', 'america', 'ever', 'dared', 'state', 'truth', 'formal', 'basis', 'politics', 'amp', 'none', 'strived', 'hard', 'rt', 'jordansview1', 'joe', 'biden', 'left', 'suggest', 'trump', 'secretly', 'white', 'supremacist', 'racist', 'million', 'su', 'rt', 'jordansview1', 'neither', 'america', 'nation', 'perfectly', 'lived', 'universal', 'truth', 'equality', 'liberty', 'justice', 'amp', 'rt', 'jordansview1', 'institute', 'new', 'government', 'laying', 'foundation', 'principle', 'organizing', 'power', 'form', 'rt', 'jordansview1', 'government', 'instituted', 'among', 'men', 'deriving', 'power', 'consent', 'governed', 'whenever', 'rt', 'jordansview1', 'hold', 'truth', 'self', 'evident', 'men', 'created', 'equal', 'endowed', 'creator', 'cer', 'rt', 'solidredpeon', 'senate', 'confirms', 'avril', 'haines', 'director', 'national', 'intelligence', 'http', 'co', '9hrorpybka', '84', '10', 'told', 'gop', 'sp']
892128385492697088;['rt', 'nyota_nuru', 'jcjax13', 'reportsdanews', 'rt', 'reportsdanews', 'breaking', 'news', 'chuck', 'schumer', 'senate', 'floor', 'donald', 'john', 'trump', 'incited', 'erection', 'insurrection', 'un', 'rt', 'maxinef37355979', 'http', 'co', 'guagsgpze8', 'rt', 'insidereporter1', 'http', 'co', 'ttpk5v1t0c', 'rt', 'logic_triumphs', 'people', 'complaining', 'joe', 'biden', '10', '000', 'watch', 'never', 'said', 'word', 'trump', 'owing', 'airp', 'rt', 'donlew87', 'heart', 'lion', 'clip', 'apparently', 'peaceful', 'protestors', 'set', 'upon', 'moscow', 'one', 'protestor', 'pull', 'back', 'rt', 'sirrk', 'try', 'real', 'hard', 'lol', 'http', 'co', 'xezv4lhiom', 'katibug817', 'rt', 'katibug817', 'reportsdanews', 'right', 'adam', 'thank', 'thinking', 'rt', 'kcb1926', 'kcb1926', 'god', 'bless', 'justin', 'http', 'co', 'jqopqxttla', 'katibug817', 'missed', 'press', 'conference', 'di', 'knew', 'like', 'rt', 'katibug817', 'reportsdanews', 'rt', 'shultoncity56', 'berniememe', 'http', 'co', 'kdkbmgbnli', 'rt', 'reportsdanews', 'breaking', 'news', 'chuck', 'schumer', 'call', 'doj', 'inspector', 'general', 'investigate', 'ny', 'time', 'report', 'trump', 'plan', 'replace', 'ag', 'rt', 'jcjax13', 'reportsdanews', 'funniest', 'bernie', 'seen', 'rt', 'reportsdanews', 'bernie', 'crashing', 'trudeau', 'press', 'conference', 'canadian', 'humour', 'nicely', 'done', 'http', 'co', 'pwjazctres', 'bernie', 'crashing', 'trudeau', 'press', 'conference', 'canadian', 'humour', 'nicely', 'done', 'http', 'co', 'pwjazctres', 'rt', 'flotus', 'important', 'step', 'supporting', 'veteran', 'family', 'http', 'co', 'sywi4ymxey', 'include', 'mommy', 'http', 'co', 't7wgaixile', 'peterbakernyt', 'orange_parrot19', 'maggienyt', 'course']
